1;2781.24;9.90;1571.49;small
1;2746.16;10.10;1548.63;small
2;2734.00;11.30;1576.00;small
2;2763.00;11.38;1612.00;small
3;2718.15;11.20;1677.80;small
3;2739.81;12.60;1645.90;small
4;2677.00;10.55;1604.00;small
4;2657.00;10.93;1577.00;small
5;2881.23;9.80;1535.80;small
5;2900.76;9.60;1566.91;small
6;2967.00;9.60;1632.00;small
6;2950.00;10.03;1568.00;small
7;2941.69;10.50;1516.84;big
7;2992.11;11.30;1492.10;big
8;3006.41;9.80;1553.92;big
8;3032.77;9.70;1579.70;small
8;3067.28;10.40;1542.92;small
9;3124.16;9.50;1706.70;small
9;3114.52;9.50;1793.31;small
10;3026.86;10.50;1664.72;small
10;3039.88;10.40;1717.47;small
11;2955.23;12.90;1777.71;big
11;2933.59;12.40;1727.03;big
12;3310.06;10.80;1940.46;small
12;3228.00;10.70;1924.00;small
13;3235.27;10.40;1816.89;big
13;3180.00;9.50;1777.00;big
14;3940.00;10.07;1594.00;big
14;3802.00;10.40;1661.00;big
14;3809.00;9.75;1583.00;big
16;2800.00;9.50;1783.00;big
16;2821.00;9.50;1650.00;big
17;3514.00;10.85;762.00;big
17;3397.00;11.40;849.00;big
18;2754.00;9.50;1518.00;small
18;2837.00;9.50;1555.00;small
19;2878.00;10.07;1482.00;big
19;2808.16;10.10;1478.73;big
20;2822.00;9.85;1414.00;big
20;2887.00;9.73;1414.00;big
21;2945.00;11.60;1440.00;big
21;3032.00;12.10;1459.00;big
22;3111.96;10.90;1493.02;small
22;3075.92;10.90;1506.81;small
22;3029.51;11.60;1517.07;small
23;2991.00;11.10;1388.00;small
23;3045.00;9.85;1329.00;small
24;3077.00;11.20;1415.00;small
24;3127.00;11.25;1376.00;small
25;3224.00;9.75;1347.00;small
25;3152.00;11.63;1308.00;small
26;3229.00;10.45;1396.00;small
26;3179.00;10.45;1387.00;small
26;3240.58;9.80;1451.31;small
27;3171.24;15.00;1451.21;small
27;3114.00;9.80;1458.00;small
28;3408.74;10.70;1227.30;small
28;3359.00;9.50;1166.00;small
28;3487.16;9.70;1194.25;small
29;3098.69;9.50;1268.11;big
29;3051.99;9.50;1214.29;big
30;3281.69;9.50;1378.90;big
30;3367.60;9.50;1375.13;big
31;4025.00;10.57;831.00;big
31;4044.00;10.13;936.00;big
32;5031.00;9.50;1451.00;big
32;1165.00;9.50;277.00;big
33;378.48;10.00;1933.22;small
33;698.68;10.80;1892.39;small
34;1420.00;11.88;1106.00;big
35;1782.00;10.50;208.00;big
35;1732.00;13.30;303.00;big
36;2024.00;11.30;1989.00;big
36;2138.00;14.23;1954.00;big
37;3171.00;10.40;1644.00;big
37;3214.00;10.30;1689.00;big
38;3151.00;10.50;1566.00;big
38;3189.00;10.13;1498.00;big
39;3241.00;10.20;1611.00;big
39;3218.00;9.80;1576.00;big
39;3263.00;9.80;1569.00;big
40;3554.81;10.40;1703.50;big
40;3653.41;9.90;1712.53;big
40;3562.81;9.80;1640.10;big
40;3657.25;10.00;1646.54;big
41;2791.99;11.70;1349.99;big
41;2696.93;13.50;1335.33;big
41;2757.37;12.10;1283.60;big
42;2702.00;9.50;1413.00;small
42;2735.00;9.50;1437.00;small
43;2643.00;9.50;1526.00;big
43;2610.00;9.50;1665.00;big
44;2294.00;9.50;1931.00;big
44;2414.00;9.50;1852.00;big
45;2812.84;9.50;1909.06;big
45;2624.06;9.50;1836.55;big
46;3464.00;9.50;1939.00;big
46;3186.00;9.50;2023.00;big
47;2588.00;9.50;1347.00;big
47;2501.00;9.50;1261.00;big
48;2658.00;9.50;1200.00;big
48;2556.00;9.50;1087.00;big
49;2430.00;9.50;1507.00;big
49;2307.00;9.50;1671.00;big
50;1867.00;9.50;1978.00;big
50;2078.00;9.50;1765.00;big
51;2321.00;9.50;1332.00;big
51;2191.00;9.50;1473.00;big
52;1350.00;9.50;1255.00;big
53;1605.00;9.50;1176.00;big
53;1848.00;9.50;1094.00;big
54;1701.00;9.50;1492.00;big
54;1778.00;9.50;1570.00;big
55;1913.00;9.50;1575.00;big
55;1875.00;9.50;1693.00;big
56;2034.00;9.50;1461.00;big
56;2089.00;9.50;1303.00;big
57;1827.00;9.50;1412.00;big
57;1811.00;9.50;1263.00;big
58;2266.00;9.50;1152.00;big
58;2355.00;9.50;1038.00;big
59;2000.00;9.50;1113.00;big
59;2087.00;9.50;952.00;big
60;3881.00;9.50;699.00;big
60;3730.00;9.50;545.00;big
61;2296.00;9.50;872.00;big
61;2491.00;9.50;826.00;big
62;2828.00;9.50;400.00;big
62;2739.00;9.50;590.00;big
63;1607.00;9.50;53.00;big
63;1840.00;9.50;76.00;big
64;2338.00;9.50;117.00;big
64;2025.00;9.50;104.00;big
65;3300.00;9.50;58.00;big
65;3028.00;9.50;119.00;big
66;2433.00;9.50;538.00;big
66;2210.00;9.50;377.00;big
67;2853.00;9.50;100.00;big
67;2649.00;9.50;149.00;big
68;2874.00;9.50;1316.00;big
68;2795.00;9.50;1263.00;big
69;3296.58;9.50;1215.87;big
69;3210.03;9.50;1204.04;big
70;3618.00;9.50;1344.00;small
70;3599.00;9.50;1431.00;small
71;4072.00;9.50;529.00;big
71;4264.00;9.50;570.00;big
72;4474.00;9.50;653.00;big
72;4348.00;9.50;738.00;big
73;4412.00;9.50;798.00;big
73;4410.00;9.50;754.00;big
74;4117.00;9.50;288.00;big
74;4184.00;9.50;93.00;big
75;4634.00;9.50;919.00;big
75;4532.00;9.50;768.00;big
76;4725.63;9.50;1062.86;big
76;4798.91;9.50;1138.04;big
77;4725.00;9.50;1289.00;small
77;4731.67;9.50;1209.26;small
78;4879.00;9.50;937.00;big
78;4872.00;9.50;785.00;big
79;4908.00;9.50;1320.00;big
79;5006.00;9.50;1471.00;big
80;4690.00;9.50;797.00;big
80;4703.00;9.50;711.00;big
81;5096.00;9.50;419.00;big
81;5236.00;9.50;355.00;big
82;4979.35;9.50;489.30;small
82;4975.91;9.50;427.78;small
83;5421.00;9.50;360.00;big
83;5280.00;9.50;520.00;big
84;5157.02;9.50;639.61;big
84;4922.04;9.50;682.45;big
84;5211.45;9.50;722.85;big
84;5018.28;9.50;792.14;big
85;3617.00;9.50;169.00;big
85;3870.00;9.50;200.00;big
86;5251.00;9.50;123.00;big
86;5519.00;9.50;153.00;big
87;5093.00;9.50;1581.00;big
87;5229.00;9.50;1713.00;big
88;130.00;9.50;1939.00;big
88;5499.00;9.50;1729.00;big
89;896.49;9.50;1398.12;small
89;829.00;9.50;1528.00;small
90;5058.00;9.50;1292.00;big
90;4942.00;9.50;1182.00;big
91;4799.00;9.50;546.00;big
91;4882.00;9.50;521.00;big
92;4665.75;9.50;394.22;big
92;4734.00;9.50;449.00;big
93;4751.00;9.50;568.00;big
93;4588.00;9.50;549.00;big
94;5084.00;9.50;950.00;big
94;5193.00;9.50;1184.00;big
95;48.00;9.50;1185.00;big
95;5475.00;9.50;1177.00;big
96;56.00;9.50;1492.00;big
96;5448.00;9.50;1500.00;big
97;78.00;9.50;670.00;big
97;5432.00;9.50;801.00;big
98;4945.00;9.50;79.00;big
98;4744.00;9.50;68.00;big
99;4461.00;9.50;416.00;big
99;4485.00;9.50;132.00;big
100;3393.47;9.50;1009.04;small
100;3535.00;9.50;845.00;small
101;4141.00;9.50;779.00;big
101;4225.00;9.50;876.00;big
102;3499.00;9.50;516.00;big
102;3599.00;9.50;696.00;big
103;3457.00;9.50;353.00;small
103;3381.00;9.50;244.00;small
104;3735.00;9.50;882.00;big
104;3849.00;9.50;963.00;big
105;332.00;9.50;713.00;big
105;364.00;9.50;1114.00;big
106;1093.00;9.50;1207.00;big
106;1308.00;9.50;1039.00;big
107;1515.00;9.50;919.00;small
107;1439.00;9.50;995.00;small
108;1564.00;9.50;261.00;big
108;1610.00;9.50;494.00;big
109;1450.00;9.50;782.00;big
109;1507.00;9.50;643.00;big
110;1173.00;9.50;690.00;big
110;1198.00;9.50;914.00;big
111;772.00;9.50;715.00;big
111;810.00;9.50;1125.00;big
112;269.00;9.50;146.00;big
112;672.00;9.50;120.00;big
113;5587.00;9.50;457.00;big
113;433.00;10.38;384.00;big
114;642.00;9.50;1686.00;big
114;342.00;9.50;1730.00;big
115;627.00;9.50;1456.00;big
115;313.00;9.50;1464.00;big
116;3549.93;15.60;1264.79;big
116;3697.73;11.60;1229.28;big
116;3615.72;16.30;1173.32;big
116;3700.86;14.40;1122.30;big
117;1567.00;9.80;1456.00;small
117;1508.00;10.40;1405.00;small
117;1538.00;9.70;1329.00;small
118;934.00;9.82;1488.00;big
118;922.00;10.30;1643.00;big
119;1072.00;13.73;1472.00;big
119;1164.00;14.50;1499.00;big
120;1348.00;11.50;1547.00;big
120;1255.00;11.10;1549.00;big
121;1833.39;11.30;1790.24;big
121;1589.12;10.30;1666.88;big
121;1642.48;10.50;1843.34;big
121;1468.66;11.00;1720.72;big
122;922.00;12.35;1752.00;big
122;859.00;12.90;1799.00;big
123;1242.04;12.80;1231.68;small
123;1243.39;15.00;1176.84;small
124;1698.00;9.70;1030.00;small
124;1814.00;9.90;1010.00;small
125;2053.00;11.15;506.00;big
126;3201.00;10.00;1165.00;small
126;3149.00;11.03;1174.00;small
126;3285.00;9.80;1146.00;small
126;3014.00;10.60;1168.00;small
126;3076.00;9.85;1154.00;small
126;3313.00;11.20;1049.00;small
127;3060.00;10.73;1123.00;small
127;2823.00;10.45;957.00;small
127;2650.00;10.10;1057.00;small
127;3210.00;10.40;1078.00;small
127;2815.00;11.80;1181.00;small
127;2882.00;11.15;1211.00;small
127;3231.00;10.90;984.00;small
128;3242.00;11.10;797.00;big
128;3316.00;10.50;883.00;small
128;3344.00;10.40;965.00;big
129;3418.00;14.43;1310.00;big
129;3292.00;13.00;1301.00;big
130;3381.00;9.80;1496.00;big
130;3229.00;10.30;1519.00;big
130;3326.00;9.70;1450.00;big
130;3307.00;9.80;1533.00;small
131;3274.00;9.80;1586.00;big
131;3334.00;10.00;1602.00;big
132;3313.00;10.30;1689.00;big
132;3331.00;9.82;1811.00;big
133;3403.15;10.00;1550.45;big
133;3464.99;9.80;1593.42;big
133;3432.53;9.90;1643.77;big
134;3532.00;11.25;1336.00;small
134;3474.00;12.90;1371.00;small
135;3439.00;9.73;1437.00;big
135;3519.00;10.38;1424.00;big
136;3727.00;12.05;1444.00;big
136;3867.00;10.60;1335.00;big
136;4005.00;10.43;1419.00;big
137;3573.15;11.20;1550.64;big
137;3497.00;9.80;1517.00;big
137;3619.86;10.70;1574.34;big
137;3611.79;9.60;1487.58;big
138;3713.00;16.13;1573.00;small
138;3721.00;12.43;1664.00;small
139;3099.11;13.10;313.21;big
139;3138.54;13.00;132.59;big
139;3235.39;14.10;215.90;big
140;3067.00;10.90;826.00;big
140;3028.00;11.20;678.00;big
140;3222.00;11.43;621.00;big
140;3150.00;10.70;706.00;big
141;4239.00;10.38;1057.00;big
141;4167.00;10.30;1045.00;big
142;4392.00;9.70;873.00;big
142;4369.00;9.98;940.00;big
146;4198.00;21.95;1152.00;big
146;4120.00;19.33;1118.00;big
146;4012.00;21.05;1219.00;big
147;4064.00;9.70;1838.00;big
147;5156.00;9.80;1879.00;big
148;4841.00;10.70;1579.00;big
148;4931.00;10.45;1469.00;big
149;5284.00;10.03;1694.00;big
149;4817.00;12.48;1713.00;big
150;3600.00;10.15;1877.00;big
150;3717.00;9.70;1873.00;big
150;3597.00;10.60;1767.00;big
151;4069.00;10.40;1644.00;big
151;4268.00;10.75;1709.00;big
151;4180.00;11.10;1600.00;big
152;4275.00;13.30;1499.00;big
152;4411.00;13.63;1446.00;big
152;4544.00;13.65;1457.00;big
153;4027.00;10.78;1081.00;big
153;3905.00;9.70;1096.00;big
154;4938.00;9.85;1240.00;big
154;5009.00;9.50;1344.00;big
156;4705.00;10.50;183.00;small
156;4928.00;9.50;180.00;small
157;5565.00;11.65;162.00;big
157;5475.00;12.55;62.00;big
158;4525.00;12.10;534.00;small
158;4698.00;10.38;511.00;small
159;4630.00;10.43;702.00;big
159;4561.00;10.45;641.00;big
160;4748.00;10.80;777.00;big
